model	fdr	TP	FN	FP	TN	NAR	FDR	Power	sim
ROSACE	0	0	0.2455616392898623	0	0.7544383607101377	0	NA	0	sim1
ROSACE	1e-5	0.13472706155632985	0.11083457773353245	4.977600796416127e-4	0.7539406006304961	0	0.00368098159509202	0.5486486486486486	sim1
ROSACE	2e-5	0.14318898291023727	0.10237265637962502	4.977600796416127e-4	0.7539406006304961	0	0.00346420323325635	0.5831081081081081	sim1
ROSACE	3.0000000000000004e-5	0.14916210386593662	0.09639953542392568	6.63680106188817e-4	0.7537746806039489	0	0.0044296788482835	0.6074324324324324	sim1
ROSACE	4e-5	0.15297826447652232	0.09258337481333996	6.63680106188817e-4	0.7537746806039489	0	0.00431965442764578	0.6229729729729729	sim1
ROSACE	5e-5	0.15729218516674962	0.08826945412311266	6.63680106188817e-4	0.7537746806039489	0	0.0042016806722689	0.6405405405405405	sim1
ROSACE	6.000000000000001e-5	0.1607765057242409	0.08478513356562137	6.63680106188817e-4	0.7537746806039489	0	0.00411099691675231	0.6547297297297298	sim1
ROSACE	7.000000000000001e-5	0.16226978596316574	0.08329185332669653	6.63680106188817e-4	0.7537746806039489	0	0.00407331975560081	0.6608108108108108	sim1
ROSACE	8e-5	0.164094906255185	0.08146673303467729	6.63680106188817e-4	0.7537746806039489	0	0.0040281973816717	0.6682432432432432	sim1
ROSACE	9e-5	0.16558818649410983	0.07997345279575245	6.63680106188817e-4	0.7537746806039489	0	0.00399201596806387	0.6743243243243243	sim1
ROSACE	1e-4	0.16708146673303467	0.07848017255682761	6.63680106188817e-4	0.7537746806039489	0	0.0039564787339268	0.6804054054054054	sim1
ROSACE	1.1e-4	0.1685747469719595	0.07698689231790277	6.63680106188817e-4	0.7537746806039489	0	0.00392156862745098	0.6864864864864865	sim1
ROSACE	1.2000000000000002e-4	0.17056578729052596	0.07499585199933632	6.63680106188817e-4	0.7537746806039489	0	0.00387596899224806	0.6945945945945945	sim1
ROSACE	1.3000000000000002e-4	0.171395387423262	0.0741662518666003	9.955201592832257e-4	0.7534428405508545	0	0.00577478344562078	0.697972972972973	sim1
ROSACE	1.4e-4	0.1720590675294508	0.07350257176041149	0.00116144018583042	0.7532769205243073	0	0.00670498084291187	0.7006756756756756	sim1
ROSACE	1.5e-4	0.1725568276090924	0.07300481168076987	0.00116144018583042	0.7532769205243073	0	0.00668576886341929	0.7027027027027026	sim1
ROSACE	1.6e-4	0.17305458768873402	0.07250705160112826	0.00116144018583042	0.7532769205243073	0	0.00666666666666666	0.7047297297297297	sim1
ROSACE	1.7e-4	0.17454786792765886	0.07101377136220342	0.00116144018583042	0.7532769205243073	0	0.00661000944287063	0.7108108108108108	sim1
ROSACE	1.8e-4	0.17620706819313092	0.06935457109673138	0.00116144018583042	0.7532769205243073	0	0.00654817586529466	0.7175675675675676	sim1
ROSACE	1.9e-4	0.17670482827277254	0.06885681101708976	0.00132736021237763	0.75311100049776	0	0.00745573159366262	0.7195945945945946	sim1
ROSACE	2e-4	0.17753442840550854	0.06802721088435375	0.00132736021237763	0.75311100049776	0	0.00742115027829313	0.7229729729729729	sim1
ROSACE	2.1e-4	0.17770034843205576	0.06786129085780654	0.00132736021237763	0.75311100049776	0	0.00741427247451343	0.7236486486486486	sim1
ROSACE	2.2e-4	0.1791936286709806	0.0663680106188817	0.00132736021237763	0.75311100049776	0	0.00735294117647058	0.7297297297297297	sim1
ROSACE	2.3e-4	0.18068690890990544	0.06487473037995686	0.00132736021237763	0.75311100049776	0	0.0072926162260711	0.7358108108108108	sim1
ROSACE	2.4000000000000003e-4	0.18118466898954705	0.06437697030031525	0.00149328023892483	0.7529450804712129	0	0.00817438692098092	0.7378378378378379	sim1
ROSACE	2.5e-4	0.18184834909573583	0.06371329019412643	0.00149328023892483	0.7529450804712129	0	0.00814479638009049	0.7405405405405405	sim1
ROSACE	2.6000000000000003e-4	0.18234610917537747	0.06321553011448482	0.00149328023892483	0.7529450804712129	0	0.00812274368231047	0.7425675675675675	sim1
ROSACE	2.7e-4	0.18300978928156628	0.062551850008296	0.00149328023892483	0.7529450804712129	0	0.00809352517985611	0.7452702702702703	sim1
ROSACE	2.8000000000000003e-4	0.1831757093081135	0.0623859299817488	0.00149328023892483	0.7529450804712129	0	0.00808625336927223	0.745945945945946	sim1
ROSACE	2.9e-4	0.1836734693877551	0.06188816990210719	0.00149328023892483	0.7529450804712129	0	0.00806451612903225	0.7479729729729729	sim1
ROSACE	3.0000000000000003e-4	0.18417122946739672	0.06139040982246557	0.00149328023892483	0.7529450804712129	0	0.00804289544235925	0.75	sim1
ROSACE	3.1e-4	0.18433714949394392	0.06122448979591836	0.00165920026547204	0.7527791604446656	0	0.00892060660124888	0.7506756756756756	sim1
ROSACE	3.2e-4	0.18516674962667995	0.06039488966318235	0.00165920026547204	0.7527791604446656	0	0.00888099467140319	0.754054054054054	sim1
ROSACE	3.3000000000000005e-4	0.1854985896797743	0.06006304961008794	0.00165920026547204	0.7527791604446656	0	0.00886524822695035	0.7554054054054055	sim1
ROSACE	3.4e-4	0.18616226978596315	0.05939936950389912	0.00165920026547204	0.7527791604446656	0	0.0088339222614841	0.7581081081081081	sim1
ROSACE	3.5000000000000005e-4	0.18632818981251037	0.05923344947735191	0.00165920026547204	0.7527791604446656	0	0.0088261253309797	0.7587837837837837	sim1
ROSACE	3.6e-4	0.18649410983905756	0.05906752945080471	0.00165920026547204	0.7527791604446656	0	0.00881834215167548	0.7594594594594595	sim1
