test_cutoff	FP	TP	n_ctrl	n_sig	method
0.05	0	-1	6	0	mutscan(limma)
0.06	0	-1	6	0	mutscan(limma)
0.07	0	-1	6	0	mutscan(limma)
0.08	0.16666666666666666	-1	6	0	mutscan(limma)
0.09	0.16666666666666666	-1	6	0	mutscan(limma)
0.1	0.16666666666666666	-1	6	0	mutscan(limma)
0.11	0.16666666666666666	-1	6	0	mutscan(limma)
0.12	0.16666666666666666	-1	6	0	mutscan(limma)
0.13	0.16666666666666666	-1	6	0	mutscan(limma)
0.14	0.16666666666666666	-1	6	0	mutscan(limma)
0.15	0.16666666666666666	-1	6	0	mutscan(limma)
0.16	0.16666666666666666	-1	6	0	mutscan(limma)
0.17	0.16666666666666666	-1	6	0	mutscan(limma)
0.18	0.16666666666666666	-1	6	0	mutscan(limma)
0.19	0.16666666666666666	-1	6	0	mutscan(limma)
0.2	0.16666666666666666	-1	6	0	mutscan(limma)
0	0	-1	6	0	DiMSum
0.01	0	-1	6	0	DiMSum
0.02	0	-1	6	0	DiMSum
0.03	0	-1	6	0	DiMSum
0.04	0	-1	6	0	DiMSum
0.05	0	-1	6	0	DiMSum
0.06	0	-1	6	0	DiMSum
0.07	0	-1	6	0	DiMSum
0.08	0	-1	6	0	DiMSum
0.09	0	-1	6	0	DiMSum
0.1	0	-1	6	0	DiMSum
0.11	0	-1	6	0	DiMSum
0.12	0.16666666666666666	-1	6	0	DiMSum
0.13	0.16666666666666666	-1	6	0	DiMSum
0.14	0.16666666666666666	-1	6	0	DiMSum
0.15	0.16666666666666666	-1	6	0	DiMSum
0.16	0.16666666666666666	-1	6	0	DiMSum
0.17	0.16666666666666666	-1	6	0	DiMSum
0.18	0.3333333333333333	-1	6	0	DiMSum
0.19	0.3333333333333333	-1	6	0	DiMSum
0.2	0.3333333333333333	-1	6	0	DiMSum
