test	num_na	corr_pearson	corr_spearman	sim	rep	rd
EDGER_effects	0	0.6355742572215594	0.6490551081205382	sim7	rep1	rd3
LIMMA_effects	0	0.66812826485319	0.6462745866095635	sim7	rep1	rd3
ROSACE_effects	0	0.7446315965442277	0.6777140868106915	sim8	rep1	rd3
SLR_effects	0	0.589530309877113	0.6577147686705103	sim8	rep1	rd3
ENRICH2_effects	0	0.7088435207853194	0.6513222885011414	sim8	rep1	rd3
EDGER_effects	0	0.6455006549652796	0.6572435835406594	sim8	rep1	rd3
LIMMA_effects	0	0.6796211933407609	0.6541033600733505	sim8	rep1	rd3
ROSACE_effects	0	0.7589541406711846	0.7022047539738678	sim9	rep1	rd3
SLR_effects	0	0.6049515437867976	0.6789853425519363	sim9	rep1	rd3
ENRICH2_effects	0	0.7286101505996292	0.6752084734519038	sim9	rep1	rd3
EDGER_effects	0	0.6588419688061762	0.6794329197231596	sim9	rep1	rd3
LIMMA_effects	0	0.691279725470408	0.6763434576521173	sim9	rep1	rd3
ROSACE_effects	0	0.7821048462794052	0.6894922570502827	sim1	rep3	rd1
SLR_effects	0	0.6746878337392727	0.641123375191091	sim1	rep3	rd1
ENRICH2_effects	0	0.6798605554213677	0.6432328924713577	sim1	rep3	rd1
DIMSUM_effects	0	0.6867114689898839	0.6439571440605162	sim1	rep3	rd1
EDGER_effects	0	0.690834679954977	0.6469526826145116	sim1	rep3	rd1
LIMMA_effects	0	0.6746210959530387	0.6410830341295158	sim1	rep3	rd1
ROSACE_effects	0	0.7654846526139444	0.6557846020255484	sim10	rep3	rd1
SLR_effects	0	0.6563522101133796	0.6097639279392691	sim10	rep3	rd1
ENRICH2_effects	0	0.6604485058345178	0.6117077161076898	sim10	rep3	rd1
DIMSUM_effects	0	0.665641646913667	0.6130647368769064	sim10	rep3	rd1
EDGER_effects	0	0.670094291585745	0.6156218566123133	sim10	rep3	rd1
LIMMA_effects	0	0.6563325000903389	0.6097390446690104	sim10	rep3	rd1
ROSACE_effects	0	0.780590054361563	0.6857723933004597	sim2	rep3	rd1
SLR_effects	0	0.6725304754904303	0.637374609373701	sim2	rep3	rd1
ENRICH2_effects	0	0.6780218117591662	0.6394769733906518	sim2	rep3	rd1
DIMSUM_effects	0	0.6880152945914285	0.643283953539262	sim2	rep3	rd1
EDGER_effects	0	0.6917363732087758	0.645611100518926	sim2	rep3	rd1
LIMMA_effects	0	0.6723245529220215	0.6372358578941334	sim2	rep3	rd1
ROSACE_effects	0	0.7600990983277089	0.6389902754375606	sim3	rep3	rd1
SLR_effects	0	0.6485385096323083	0.5962542090084277	sim3	rep3	rd1
ENRICH2_effects	0	0.6540219626556804	0.59854814362455655	sim3	rep3	rd1
DIMSUM_effects	0	0.6638899871590853	0.602359394147807	sim3	rep3	rd1
EDGER_effects	0	0.6664895008320146	0.6036913467529582	sim3	rep3	rd1
LIMMA_effects	0	0.6485458416995497	0.5962704977602706	sim3	rep3	rd1
ROSACE_effects	0	0.775093977862956	0.6685577487623234	sim4	rep3	rd1
