test	num_na	corr_pearson	corr_spearman	sim	rep	rd
EDGER_effects	0	0.7147563237995175	0.6301667932619633	sim7	rep1	rd3
LIMMA_effects	0	0.7338478051699545	0.6500742222941495	sim7	rep1	rd3
ROSACE_effects	0	0.8116882452189066	0.7269815577407595	sim8	rep1	rd3
SLR_effects	0	0.7395269405471255	0.6808543432841982	sim8	rep1	rd3
ENRICH2_effects	0	0.5928094418234956	0.5366979433084789	sim8	rep1	rd3
EDGER_effects	0	0.7175385482998838	0.6560217079232765	sim8	rep1	rd3
LIMMA_effects	0	0.7418236659127849	0.6812487354297061	sim8	rep1	rd3
ROSACE_effects	0	0.7800185141654572	0.6580484430737189	sim9	rep1	rd3
SLR_effects	0	0.7041947534938547	0.6167313157958105	sim9	rep1	rd3
ENRICH2_effects	0	0.5717466796014673	0.4818195203915124	sim9	rep1	rd3
EDGER_effects	0	0.6870142553478336	0.5943650393130873	sim9	rep1	rd3
LIMMA_effects	0	0.7102587715619086	0.6191432209794842	sim9	rep1	rd3
ROSACE_effects	0	0.7315287310121462	0.6581477859118106	sim1	rep3	rd1
SLR_effects	0	0.5621810568916314	0.5247422598115558	sim1	rep3	rd1
ENRICH2_effects	0	0.5626506135657421	0.5238104001379392	sim1	rep3	rd1
DIMSUM_effects	8	0.4683104025067927	0.43032102593063326	sim1	rep3	rd1
EDGER_effects	0	0.5337329507697239	0.4956365145354055	sim1	rep3	rd1
LIMMA_effects	0	0.5621172476909916	0.5246870971687987	sim1	rep3	rd1
ROSACE_effects	0	0.7345481197236824	0.6802254339437885	sim10	rep3	rd1
SLR_effects	0	0.5686215789884944	0.5449365184092326	sim10	rep3	rd1
ENRICH2_effects	0	0.5711730729170909	0.5471922882573593	sim10	rep3	rd1
DIMSUM_effects	10	0.4992086080215431	0.4734711621537903	sim10	rep3	rd1
EDGER_effects	0	0.5596776752955311	0.5306158741283243	sim10	rep3	rd1
LIMMA_effects	0	0.5686381457007778	0.5449474650040629	sim10	rep3	rd1
ROSACE_effects	0	0.7372308837872122	0.6818588382852928	sim2	rep3	rd1
SLR_effects	0	0.5710294952978853	0.5456497080438453	sim2	rep3	rd1
ENRICH2_effects	0	0.5774809571568377	0.5514586605310191	sim2	rep3	rd1
DIMSUM_effects	7	0.4891398230800222	0.4665240345884118	sim2	rep3	rd1
EDGER_effects	0	0.563609335121426	0.5345414864078317	sim2	rep3	rd1
LIMMA_effects	0	0.5708652676635514	0.5455043412189339	sim2	rep3	rd1
