test_cutoff	FP	TP	n_ctrl	n_sig	method
0.03	0.07142857142857142	-1	14	0	mutscan(limma)
0.04	0.07142857142857142	-1	14	0	mutscan(limma)
0.05	0.07142857142857142	-1	14	0	mutscan(limma)
0.06	0.07142857142857142	-1	14	0	mutscan(limma)
0.07	0.07142857142857142	-1	14	0	mutscan(limma)
0.08	0.07142857142857142	-1	14	0	mutscan(limma)
0.09	0.07142857142857142	-1	14	0	mutscan(limma)
0.1	0.14285714285714285	-1	14	0	mutscan(limma)
0.11	0.14285714285714285	-1	14	0	mutscan(limma)
0.12	0.21428571428571427	-1	14	0	mutscan(limma)
0.13	0.21428571428571427	-1	14	0	mutscan(limma)
0.14	0.2857142857142857	-1	14	0	mutscan(limma)
0.15	0.35714285714285715	-1	14	0	mutscan(limma)
0.16	0.35714285714285715	-1	14	0	mutscan(limma)
0.17	0.35714285714285715	-1	14	0	mutscan(limma)
0.18	0.42857142857142855	-1	14	0	mutscan(limma)
0.19	0.42857142857142855	-1	14	0	mutscan(limma)
0.2	0.42857142857142855	-1	14	0	mutscan(limma)
0	0	-1	14	0	DiMSum
0.01	0.42857142857142855	-1	14	0	DiMSum
0.02	0.5	-1	14	0	DiMSum
0.03	0.5	-1	14	0	DiMSum
0.04	0.5	-1	14	0	DiMSum
0.05	0.5	-1	14	0	DiMSum
0.06	0.5	-1	14	0	DiMSum
0.07	0.5	-1	14	0	DiMSum
0.08	0.5	-1	14	0	DiMSum
0.09	0.5	-1	14	0	DiMSum
0.1	0.5	-1	14	0	DiMSum
0.11	0.5	-1	14	0	DiMSum
0.12	0.5714285714285714	-1	14	0	DiMSum
0.13	0.5714285714285714	-1	14	0	DiMSum
0.14	0.5714285714285714	-1	14	0	DiMSum
0.15	0.5714285714285714	-1	14	0	DiMSum
0.16	0.5714285714285714	-1	14	0	DiMSum
0.17	0.5714285714285714	-1	14	0	DiMSum
0.18	0.5714285714285714	-1	14	0	DiMSum
0.19	0.5714285714285714	-1	14	0	DiMSum
0.2	0.5714285714285714	-1	14	0	DiMSum
