model	fdr	TP	FN	FP	TN	NAR	FDR	Power	sim
ROSACE	0	0	0.21576524741081704	0	0.784234752589183	0	NA	0	sim1
ROSACE	1e-5	0.00567154364622719	0.21009370376458983	6.575702778234424e-4	0.7835771823113595	0	0.10389610389610388	0.02628571428571429	sim1
ROSACE	2e-5	0.00772645076442544	0.2080387966463916	9.041591320072332e-4	0.7833305934571757	0	0.10476190476190476	0.03580952380952381	sim1
ROSACE	3.0000000000000004e-5	0.00879500246588854	0.2069702449449285	0.00115074798619102	0.783084004602992	0	0.11570247933884298	0.04076190476190476	sim1
ROSACE	4e-5	0.00969916159789577	0.20606608581292127	0.00139733684037481	0.7828374157488082	0	0.1259259259259259	0.04495238095238095	sim1
ROSACE	5e-5	0.00986355416735163	0.20590169324346536	0.00147953312510274	0.7827552194640802	0	0.13043478260869565	0.04571428571428572	sim1
ROSACE	6.000000000000001e-5	0.01117869472299852	0.2045865526878185	0.00147953312510274	0.7827552194640802	0	0.11688311688311688	0.05180952380952381	sim1
ROSACE	7.000000000000001e-5	0.01200065757027782	0.2037645898405392	0.00156172940983067	0.7826730231793523	0	0.11515151515151516	0.05561904761904762	sim1
ROSACE	8e-5	0.01282262041755712	0.2029426269932599	0.00172612197928653	0.7825086306098964	0	0.11864406779661016	0.05942857142857142	sim1
ROSACE	9e-5	0.01356238698010849	0.20220286043070856	0.00180831826401446	0.7824264343251685	0	0.1176470588235294	0.06285714285714285	sim1
ROSACE	1e-4	0.0143843498273878	0.2013808975834292	0.00180831826401446	0.7824264343251685	0	0.1116751269035533	0.06666666666666667	sim1
ROSACE	1.1e-4	0.01479533125102745	0.20096991615978957	0.00197271083347032	0.7822620417557127	0	0.1176470588235294	0.06857142857142857	sim1
ROSACE	1.2000000000000002e-4	0.01545290152885089	0.20031234588196617	0.00197271083347032	0.7822620417557127	0	0.11320754716981132	0.07161904761904761	sim1
ROSACE	1.3000000000000002e-4	0.01594607923721848	0.19981916817359857	0.00197271083347032	0.7822620417557127	0	0.11009174311926603	0.07390476190476192	sim1
ROSACE	1.4e-4	0.01652145323031399	0.19924379418050303	0.00197271083347032	0.7822620417557127	0	0.10666666666666667	0.07657142857142857	sim1
ROSACE	1.5e-4	0.01734341607759329	0.19842183133322375	0.00197271083347032	0.7822620417557127	0	0.10212765957446808	0.08038095238095239	sim1
ROSACE	1.6e-4	0.01775439750123294	0.1980108499095841	0.00197271083347032	0.7822620417557127	0	0.1	0.0822857142857143	sim1
ROSACE	1.7e-4	0.01800098635541673	0.1977642610554003	0.00197271083347032	0.7822620417557127	0	0.09876543209876544	0.08342857142857142	sim1
ROSACE	1.8e-4	0.01841196777905638	0.19735327963176064	0.00197271083347032	0.7822620417557127	0	0.0967741935483871	0.08533333333333334	sim1
ROSACE	1.9e-4	0.01857636034851224	0.1971888870623048	0.00213710340292618	0.7820976491862568	0	0.10317460317460318	0.08609523809523809	sim1
ROSACE	2e-4	0.01857636034851224	0.1971888870623048	0.00213710340292618	0.7820976491862568	0	0.10317460317460318	0.08609523809523809	sim1
ROSACE	2.1e-4	0.01890514548742396	0.1968601019233931	0.00213710340292618	0.7820976491862568	0	0.1015625	0.08761904761904761	sim1
ROSACE	2.2e-4	0.01931612691106362	0.1964491204997534	0.00213710340292618	0.7820976491862568	0	0.09961685823754789	0.08952380952380952	sim1
ROSACE	2.3e-4	0.01956271576524741	0.1962025316455696	0.00221929968765411	0.7820154529015289	0	0.1018867924528302	0.09066666666666667	sim1
ROSACE	2.4000000000000003e-4	0.0198093046194312	0.19595594279138584	0.00221929968765411	0.7820154529015289	0	0.10074626865671645	0.0918095238095238	sim1
