model	rank	TP	FN	FP	TN	NAR	FDR	Power	Sensitivity	sim
ENRICH2	0.279	0.4360636417206836	0	0.5639363582793164	0	0	0.5639363582793164	1	0.6182121971595655	sim4
ENRICH2	0.28	0.4351145038167939	0	0.5648854961832062	0	0	0.5648854961832062	1	0.6190476190476191	sim4
ENRICH2	0.281	0.4341720304271504	0	0.5658279695728496	0	0	0.5658279695728496	1	0.6198830409356725	sim4
ENRICH2	0.282	0.4341107871720117	0	0.5658892128279883	0	0	0.5658892128279883	1	0.6219715956558062	sim4
ENRICH2	0.283	0.43317838466008135	0	0.5668216153399187	0	0	0.5668216153399187	1	0.6228070175438597	sim4
ENRICH2	0.284	0.4324167872648336	0	0.5675832127351664	0	0	0.5675832127351664	1	0.6240601503759399	sim4
ENRICH2	0.285	0.4317854052494952	0	0.5682145947505047	0	0	0.5682145947505047	1	0.62531328320802	sim4
ENRICH2	0.286	0.4308709399252658	0	0.5691290600747341	0	0	0.5691290600747341	1	0.6261487050960736	sim4
ENRICH2	0.287	0.42996276138642225	0	0.5700372386135778	0	0	0.5700372386135778	1	0.626984126984127	sim4
ENRICH2	0.288	0.4290608050242649	0	0.5709391949757351	0	0	0.5709391949757351	1	0.6278195488721805	sim4
ENRICH2	0.289	0.4275960170697013	0	0.5724039829302987	0	0	0.5724039829302987	1	0.6278195488721805	sim4
ENRICH2	0.29	0.4268707482993197	0	0.5731292517006803	0	0	0.5731292517006803	1	0.6290726817042607	sim4
ENRICH2	0.291	0.42598870056497173	0	0.5740112994350283	0	0	0.5740112994350283	1	0.6299081035923141	sim4
ENRICH2	0.292	0.42567567567567566	0	0.5743243243243243	0	0	0.5743243243243243	1	0.631578947368421	sim4
ENRICH2	0.293	0.425364758698092	0	0.574635241301908	0	0	0.574635241301908	1	0.633249791144528	sim4
ENRICH2	0.294	0.42477628635346754	0	0.5752237136465325	0	0	0.5752237136465325	1	0.6345029239766082	sim4
ENRICH2	0.295	0.4236343366778149	0	0.5763656633221851	0	0	0.5763656633221851	1	0.6349206349206349	sim4
ENRICH2	0.296	0.4226603721188559	0	0.5773396278811441	0	0	0.5773396278811441	1	0.6357560568086884	sim4
ENRICH2	0.297	0.4220869083863825	0	0.5779130916136175	0	0	0.5779130916136175	1	0.6370091896407686	sim4
ENRICH2	0.298	0.4215172413793103	0	0.5784827586206897	0	0	0.5784827586206897	1	0.6382623224728488	sim4
ENRICH2	0.299	0.42122628540005497	0	0.578773714599945	0	0	0.578773714599945	1	0.6399331662489557	sim4
ENRICH2	0.3	0.4203891477117018	0	0.5796108522882981	0	0	0.5796108522882981	1	0.6407685881370092	sim4
ENRICH2	0.301	0.42010379677683696	0	0.579896203223163	0	0	0.579896203223163	1	0.6424394319131161	sim4
ENRICH2	0.302	0.41997822536744694	0	0.5800217746325531	0	0	0.5800217746325531	1	0.6445279866332498	sim4
ENRICH2	0.303	0.4196961475854585	0	0.5803038524145415	0	0	0.5803038524145415	1	0.6461988304093568	sim4
ENRICH2	0.304	0.4188750676041103	0	0.5811249323958897	0	0	0.5811249323958897	1	0.6470342522974102	sim4
ENRICH2	0.305	0.4183288409703504	0	0.5816711590296496	0	0	0.5816711590296496	1	0.6482873851294904	sim4
ENRICH2	0.306	0.4172487909725954	0	0.5827512090274046	0	0	0.5827512090274046	1	0.6487050960735171	sim4
ENRICH2	0.307	0.4169791108730584	0	0.5830208891269416	0	0	0.5830208891269416	1	0.650375939849624	sim4
ENRICH2	0.308	0.41633306645316254	0	0.5836669335468375	0	0	0.5836669335468375	1	0.6516290726817042	sim4
ENRICH2	0.309	0.4158020750199521	0	0.5841979249800479	0	0	0.5841979249800479	1	0.6528822055137845	sim4
ENRICH2	0.31	0.4144789180588703	0	0.5855210819411297	0	0	0.5855210819411297	1	0.6528822055137845	sim4
ENRICH2	0.311	0.4139571768437747	0	0.5860428231562252	0	0	0.5860428231562252	1	0.6541353383458647	sim4
ENRICH2	0.312	0.4129117259552042	0	0.5870882740447958	0	0	0.5870882740447958	1	0.6545530492898914	sim4
ENRICH2	0.313	0.41213553979511425	0	0.5878644602048857	0	0	0.5878644602048857	1	0.6553884711779449	sim4
ENRICH2	0.314	0.41151832460732984	0	0.5884816753926702	0	0	0.5884816753926702	1	0.656641604010025	sim4
ENRICH2	0.315	0.41075156576200417	0	0.5892484342379958	0	0	0.5892484342379958	1	0.6574770258980785	sim4
ENRICH2	0.316	0.40972944849115506	0	0.590270551508845	0	0	0.590270551508845	1	0.6578947368421053	sim4
ENRICH2	0.317	0.4092323651452282	0	0.5907676348547718	0	0	0.5907676348547718	1	0.6591478696741855	sim4
ENRICH2	0.318	0.40873836608066183	0	0.5912616339193382	0	0	0.5912616339193382	1	0.6604010025062657	sim4
ENRICH2	0.319	0.4085051546391753	0	0.5914948453608248	0	0	0.5914948453608248	1	0.6620718462823726	sim4
ENRICH2	0.32	0.4081685075777036	0	0.5918314924222964	0	0	0.5918314924222964	1	0.6637426900584795	sim4
ENRICH2	0.321	0.40691421254801535	0	0.5930857874519846	0	0	0.5930857874519846	1	0.6637426900584795	sim4
ENRICH2	0.322	0.4069440898646924	0	0.5930559101353077	0	0	0.5930559101353077	1	0.6658312447786132	sim4
ENRICH2	0.323	0.4064647493000764	0	0.5935352506999236	0	0	0.5935352506999236	1	0.6670843776106934	sim4
ENRICH2	0.324	0.40548084242578025	0	0.5945191575742197	0	0	0.5945191575742197	1	0.6675020885547202	sim4
ENRICH2	0.325	0.40450290918289905	0	0.5954970908171009	0	0	0.5954970908171009	1	0.6679197994987469	sim4
ENRICH2	0.326	0.4039334341906203	0	0.5960665658093798	0	0	0.5960665658093798	1	0.6691729323308271	sim4
ENRICH2	0.327	0.4029663147310206	0	0.5970336852689794	0	0	0.5970336852689794	1	0.6695906432748538	sim4
ENRICH2	0.328	0.4025062656641604	0	0.5974937343358396	0	0	0.5974937343358396	1	0.670843776106934	sim4
ENRICH2	0.329	0.4020489755122439	0	0.5979510244877562	0	0	0.5979510244877562	1	0.6720969089390142	sim4
ENRICH2	0.33	0.4013452914798206	0	0.5986547085201793	0	0	0.5986547085201793	1	0.6729323308270677	sim4
ENRICH2	0.331	0.40039741679085944	0	0.5996025832091406	0	0	0.5996025832091406	1	0.6733500417710944	sim4
