test	num_na	corr_pearson	corr_spearman	sim
ROSACE_effects	0	0.9286216931199852	0.7257641161586065	sim1
SLR_effects	0	0.8698730373558038	0.7155937842990479	sim1
ENRICH2_effects	0	0.8015919103272596	0.6736274663344183	sim1
EDGER_effects	0	0.8639139709525152	0.7033067998395194	sim1
LIMMA_effects	0	0.8691423086991569	0.7156295932709835	sim1
ROSACE_effects	0	0.9345175659641708	0.7560166197750885	sim10
SLR_effects	0	0.8824820671230367	0.7477094136712508	sim10
ENRICH2_effects	0	0.8126623016068854	0.7041511014836377	sim10
EDGER_effects	0	0.8747358091452304	0.7413534572452689	sim10
LIMMA_effects	0	0.8834105355300398	0.7476246702470223	sim10
ROSACE_effects	0	0.9371120786346462	0.7621116970487752	sim2
SLR_effects	0	0.8854352534920891	0.7544069259529923	sim2
ENRICH2_effects	0	0.8126233943992882	0.7099101409181758	sim2
EDGER_effects	0	0.873389012950399	0.7467127537073166	sim2
LIMMA_effects	0	0.887554463517404	0.7546749125891854	sim2
ROSACE_effects	0	0.9358171207764224	0.7522509209018888	sim3
SLR_effects	0	0.8824236490293575	0.7442481447416521	sim3
ENRICH2_effects	0	0.8134123535118827	0.6979343455808841	sim3
EDGER_effects	0	0.8767660573605959	0.7354363719996462	sim3
LIMMA_effects	0	0.8842893537830777	0.7443012914353812	sim3
ROSACE_effects	0	0.9315867346676174	0.736937346712736	sim4
SLR_effects	0	0.8767982412473102	0.7300106189980428	sim4
ENRICH2_effects	0	0.8062893165418514	0.6843390643406686	sim4
EDGER_effects	0	0.8643719061286178	0.7171800172554755	sim4
LIMMA_effects	0	0.879546805918361	0.7302801090433465	sim4
ROSACE_effects	0	0.9323646922013196	0.746517344050877	sim5
SLR_effects	0	0.875966265393819	0.7359835997424544	sim5
ENRICH2_effects	0	0.8020729538243648	0.6964495353915658	sim5
EDGER_effects	0	0.8707427990683049	0.7301508705158396	sim5
LIMMA_effects	0	0.8777537165637336	0.7360554989300949	sim5
ROSACE_effects	0	0.9342111103831724	0.7704020465678975	sim6
SLR_effects	0	0.8830764270589085	0.762439180604682	sim6
ENRICH2_effects	0	0.8120061712075735	0.7166168988561594	sim6
EDGER_effects	0	0.875612377574113	0.7558656885258206	sim6
LIMMA_effects	0	0.8851253708397451	0.762761405095144	sim6
ROSACE_effects	0	0.9313184689216992	0.7401064911328795	sim7
SLR_effects	0	0.8805118929704527	0.7330322951468408	sim7
ENRICH2_effects	0	0.8097319404476372	0.6930719771264204	sim7
EDGER_effects	0	0.8761015434169166	0.7227602909378157	sim7
LIMMA_effects	0	0.8821678727688523	0.7330837681170892	sim7
ROSACE_effects	0	0.9357052468105744	0.7823765122322177	sim8
SLR_effects	0	0.8881527493964911	0.7748277747334396	sim8
ENRICH2_effects	0	0.8132989913064824	0.7281091661845425	sim8
EDGER_effects	0	0.8798374233246716	0.7672638532047468	sim8
LIMMA_effects	0	0.8893680510463329	0.7750617991528461	sim8
ROSACE_effects	0	0.9281342590677448	0.7100181803207876	sim9
SLR_effects	0	0.8664226006536518	0.7021779490204266	sim9
ENRICH2_effects	0	0.8013740756870983	0.6636966451302629	sim9
EDGER_effects	0	0.8640172898292067	0.6905906613931567	sim9
LIMMA_effects	0	0.8665659896783459	0.7018675619827528	sim9
