test	TP	FN	FP	TN	NAR	FDR	POWER	fdr	sim	rep	rd	mode
DIMSUM_tests	0.19514820334492464	2.4838549428713363e-4	0.5176353700943865	0.28605729425401555	9.107468123861566e-4	0.7262167499128819	0.998728813559322	0.1	sim10	rep1	rd1	nopos
ENRICH2_tests	0.17726444775625105	1.6559032952475575e-4	0.32290114257327374	0.4996688193409505	0	0.6455884787286873	0.999066728884741	0.005	sim2	rep1	rd1	nopos
ROSACE_tests	0.1553237290942209	0.02210630899155489	0.17295909918860738	0.6495280675608545	8.279516476237788e-5	0.526860025220681	0.8754083061129259	0.005	sim2	rep1	rd1	nopos
ROSACENP_tests	0.07675111773472429	0.1006789203510515	0.1811558205000828	0.641331346249379	8.279516476237788e-5	0.7024077046548957	0.43257116192253847	0.005	sim2	rep1	rd1	nopos
SLR_tests	0	0	0	0	1	NA	NA	0.005	sim2	rep1	rd1	nopos
DIMSUM_tests	0.17726444775625105	1.6559032952475575e-4	0.3559364133134625	0.4662195727769498	4.139758238118894e-4	0.6675465838509317	0.999066728884741	0.005	sim2	rep1	rd1	nopos
ENRICH2_tests	0.17734724292101342	8.279516476237788e-5	0.3573439311144229	0.4652260307998013	0	0.6683183648188293	0.9995333644423706	0.01	sim2	rep1	rd1	nopos
ROSACE_tests	0.1620301374399735	0.01539990064580228	0.2021029971849644	0.6203841695644974	8.279516476237788e-5	0.555025011368804	0.9132057862809144	0.01	sim2	rep1	rd1	nopos
ROSACENP_tests	0.09388971684053651	0.08354032124523927	0.20914058618976653	0.6133465805596953	8.279516476237788e-5	0.6901639344262295	0.5291647223518432	0.01	sim2	rep1	rd1	nopos
SLR_tests	0	0	0	0	1	NA	NA	0.01	sim2	rep1	rd1	nopos
DIMSUM_tests	0.17734724292101342	8.279516476237788e-5	0.39037920185461167	0.4317767842358006	4.139758238118894e-4	0.6876184920519177	0.9995333644423706	0.01	sim2	rep1	rd1	nopos
ENRICH2_tests	0.1774300380857758	0	0.4553734061930783	0.3671965557211459	0	0.7196127175192987	1	0.05	sim2	rep1	rd1	nopos
ROSACE_tests	0.17337307501241928	0.00405696307335651	0.29797979797979796	0.5245073687696639	8.279516476237788e-5	0.6321798700158089	0.9771348576761548	0.05	sim2	rep1	rd1	nopos
ROSACENP_tests	0.1354528895512502	0.04197714853452558	0.3042722305017387	0.5182149362477231	8.279516476237788e-5	0.6919600828469215	0.7634157722818479	0.05	sim2	rep1	rd1	nopos
SLR_tests	0	0	0	0	1	NA	NA	0.05	sim2	rep1	rd1	nopos
DIMSUM_tests	0.1774300380857758	0	0.488822652757079	0.3333333333333333	4.139758238118894e-4	0.7336895737541941	1	0.05	sim2	rep1	rd1	nopos
ENRICH2_tests	0.1774300380857758	0	0.5086106971352873	0.31395926477893693	0	0.7413709872073376	1	0.1	sim2	rep1	rd1	nopos
ROSACE_tests	0.17585692995529062	0.00157310813048517	0.36562344759066073	0.45686371915880114	8.279516476237788e-5	0.6752293577981652	0.9911339244050398	0.1	sim2	rep1	rd1	nopos
ROSACENP_tests	0.15002483854942872	0.02740519953634707	0.3716674946183143	0.45081967213114754	8.279516476237788e-5	0.7124265989525472	0.8455436304246384	0.1	sim2	rep1	rd1	nopos
SLR_tests	0	0	0	0	1	NA	NA	0.1	sim2	rep1	rd1	nopos
DIMSUM_tests	0.1774300380857758	0	0.53899652260308	0.28315946348733234	4.139758238118894e-4	0.7523402288223737	1	0.1	sim2	rep1	rd1	nopos
ENRICH2_tests	0.1912568306010929	8.279516476237788e-5	0.31892697466467956	0.4897333995694651	0	0.6251217137293087	0.9995672868887928	0.005	sim3	rep1	rd1	nopos
ROSACE_tests	0.1781751945686372	0.01316443119721808	0.17138599105812222	0.6371915880112602	8.279516476237788e-5	0.49028896257697774	0.9311986153180442	0.005	sim3	rep1	rd1	nopos
ROSACENP_tests	0.08536181487001158	0.10597781089584368	0.1777612187448253	0.630816360324557	8.279516476237788e-5	0.6755821271239774	0.4461272176546949	0.005	sim3	rep1	rd1	nopos
SLR_tests	0	0	0	0	1	NA	NA	0.005	sim3	rep1	rd1	nopos
DIMSUM_tests	0.1912568306010929	8.279516476237788e-5	0.3512998840867693	0.4566981288292763	6.62361318099023e-4	0.6474896993743323	0.9995672868887928	0.005	sim3	rep1	rd1	nopos
ENRICH2_tests	0.1912568306010929	8.279516476237788e-5	0.353204172876304	0.4554562013578407	0	0.6487226277372263	0.9995672868887928	0.01	sim3	rep1	rd1	nopos
ROSACE_tests	0.18181818181818185	0.00952144394767345	0.20127504553734063	0.6073025335320418	8.279516476237788e-5	0.5253944240328507	0.950237992211164	0.01	sim3	rep1	rd1	nopos
ROSACENP_tests	0.10299718496439808	0.0883424408014572	0.2074018877297566	0.6011756913396258	8.279516476237788e-5	0.6681781808482262	0.5382951103418433	0.01	sim3	rep1	rd1	nopos
SLR_tests	0	0	0	0	1	NA	NA	0.01	sim3	rep1	rd1	nopos
DIMSUM_tests	0.1912568306010929	8.279516476237788e-5	0.38524590163934425	0.4227521112767014	6.62361318099023e-4	0.6682464454976303	0.9995672868887928	0.01	sim3	rep1	rd1	nopos
ENRICH2_tests	0.1912568306010929	8.279516476237788e-5	0.44709388971684055	0.36156648451730417	0	0.7003891050583657	0.9995672868887928	0.05	sim3	rep1	rd1	nopos
ROSACE_tests	0.1889385659877463	0.00240105977810895	0.3036098691836397	0.5049677098857427	8.279516476237788e-5	0.6164061186754076	0.9874513197749892	0.05	sim3	rep1	rd1	nopos
ROSACENP_tests	0.14282165921510184	0.04851796655075344	0.3115582050008279	0.4970193740685544	8.279516476237788e-5	0.6856778425655976	0.74643011683254	0.05	sim3	rep1	rd1	nopos
SLR_tests	0	0	0	0	1	NA	NA	0.05	sim3	rep1	rd1	nopos
DIMSUM_tests	0.1912568306010929	8.279516476237788e-5	0.4800463652922669	0.32795164762377876	6.62361318099023e-4	0.7150962012826838	0.9995672868887928	0.05	sim3	rep1	rd1	nopos
ENRICH2_tests	0.1912568306010929	8.279516476237788e-5	0.5000827951647624	0.3085775790693823	0	0.7233532934131737	0.9995672868887928	0.1	sim3	rep1	rd1	nopos
ROSACE_tests	0.19026328862394437	0.00107633714191091	0.36645139923828446	0.44212617983109787	8.279516476237788e-5	0.6582391433670434	0.9943747295543056	0.1	sim3	rep1	rd1	nopos
ROSACENP_tests	0.16029143897996356	0.0310481867858917	0.3713363139592647	0.4372412651101176	8.279516476237788e-5	0.6984893318797695	0.8377325832972738	0.1	sim3	rep1	rd1	nopos
SLR_tests	0	0	0	0	1	NA	NA	0.1	sim3	rep1	rd1	nopos
DIMSUM_tests	0.1912568306010929	8.279516476237788e-5	0.5272396092068223	0.2807584037092234	6.62361318099023e-4	0.733809633556119	0.9995672868887928	0.1	sim3	rep1	rd1	nopos
ENRICH2_tests	0.19812882927637027	4.139758238118894e-4	0.3144560357675112	0.4870011591323067	0	0.613471167824261	0.9979149291075896	0.005	sim4	rep1	rd1	nopos
ROSACE_tests	0.18811061434012255	0.01043219076005961	0.17262791852955786	0.62882927637026	0	0.47854028000918064	0.9474562135112594	0.005	sim4	rep1	rd1	nopos
ROSACENP_tests	0.08494783904619971	0.11359496605398244	0.17759562841530055	0.6238615664845173	0	0.6764427625354777	0.4278565471226022	0.005	sim4	rep1	rd1	nopos
SLR_tests	0	0	0	0	1	NA	NA	0.005	sim4	rep1	rd1	nopos
DIMSUM_tests	0.19812882927637027	4.139758238118894e-4	0.34674615002483855	0.45388309322735554	8.279516476237788e-4	0.6363774502355265	0.9979149291075896	0.005	sim4	rep1	rd1	nopos
ENRICH2_tests	0.19812882927637027	4.139758238118894e-4	0.34790528233151186	0.453551912568306	0	0.6371493555724033	0.9979149291075896	0.01	sim4	rep1	rd1	nopos
ROSACE_tests	0.19208478224871667	0.00645802285146547	0.202020202020202	0.5994369928796158	0	0.5126050420168067	0.9674728940783988	0.01	sim4	rep1	rd1	nopos
ROSACENP_tests	0.10158966716343766	0.0969531379367445	0.2065739360821328	0.594883258817685	0	0.6703385276732939	0.5116763969974979	0.01	sim4	rep1	rd1	nopos
SLR_tests	0	0	0	0	1	NA	NA	0.01	sim4	rep1	rd1	nopos
DIMSUM_tests	0.19812882927637027	4.139758238118894e-4	0.37945024010597783	0.42117900314621626	8.279516476237788e-4	0.656966743119266	0.9979149291075896	0.01	sim4	rep1	rd1	nopos
ENRICH2_tests	0.19812882927637027	4.139758238118894e-4	0.4434509024672959	0.35800629243252197	0	0.6911859594786424	0.9979149291075896	0.05	sim4	rep1	rd1	nopos
ROSACE_tests	0.19672131147540983	0.00182149362477231	0.30303030303030304	0.4984268918695148	0	0.6063618290258449	0.9908256880733944	0.05	sim4	rep1	rd1	nopos
ROSACENP_tests	0.14497433349892366	0.05356847160125849	0.30625931445603577	0.4951978804437821	0	0.6787155963302752	0.7301918265221017	0.05	sim4	rep1	rd1	nopos
SLR_tests	0	0	0	0	1	NA	NA	0.05	sim4	rep1	rd1	nopos
DIMSUM_tests	0.19812882927637027	4.139758238118894e-4	0.47590660705414806	0.32472263619804603	8.279516476237788e-4	0.7060557671047782	0.9979149291075896	0.05	sim4	rep1	rd1	nopos
ENRICH2_tests	0.19812882927637027	4.139758238118894e-4	0.49751614505712866	0.30394104984268916	0	0.7151868602713639	0.9979149291075896	0.1	sim4	rep1	rd1	nopos
ROSACE_tests	0.1975492631230336	9.935419771485343e-4	0.36545785726113594	0.4359993376386819	0	0.6491176470588236	0.9949958298582152	0.1	sim4	rep1	rd1	nopos
ROSACENP_tests	0.1636032455704587	0.03493955952972346	0.3699287961583044	0.4315283987415135	0	0.69335816263190575	0.8240200166805671	0.1	sim4	rep1	rd1	nopos
SLR_tests	0	0	0	0	1	NA	NA	0.1	sim4	rep1	rd1	nopos
DIMSUM_tests	0.19812882927637027	4.139758238118894e-4	0.5264116575591985	0.27421758569299554	8.279516476237788e-4	0.7265455376528397	0.9979149291075896	0.1	sim4	rep1	rd1	nopos
ENRICH2_tests	0.19357509521443947	4.967709885742673e-4	0.3200033118065905	0.48592482199039577	0	0.6230856037401257	0.9974402730375428	0.005	sim5	rep1	rd1	nopos
ROSACE_tests	0.17974830269912237	0.01432356350389137	0.17527736380195397	0.6304851796655075	1.6559032952475575e-4	0.4937033582089552	0.9261945392491469	0.005	sim5	rep1	rd1	nopos
ROSACENP_tests	0.09082629574432852	0.1032455704586852	0.17991389302864713	0.6258486504388143	1.6559032952475575e-4	0.6645259938837921	0.46800341296928327	0.005	sim5	rep1	rd1	nopos
SLR_tests	0	0	0	0	1	NA	NA	0.005	sim5	rep1	rd1	nopos
DIMSUM_tests	0.19357509521443947	4.967709885742673e-4	0.3502235469448584	0.4551250206987912	5.795661533366451e-4	0.6440316686967114	0.9974402730375428	0.005	sim5	rep1	rd1	nopos
ENRICH2_tests	0.19357509521443947	4.967709885742673e-4	0.3522106308991555	0.4537175028978307	0	0.6453276699029126	0.9974402730375428	0.01	sim5	rep1	rd1	nopos
ROSACE_tests	0.1856267593972512	0.00844510680576254	0.2028481536678258	0.6029143897996357	1.6559032952475575e-4	0.5221653878942881	0.9564846416382252	0.01	sim5	rep1	rd1	nopos
ROSACENP_tests	0.10465308825964564	0.08941877794336811	0.20756747805928133	0.5981950654081801	1.6559032952475575e-4	0.6648103951206576	0.5392491467576792	0.01	sim5	rep1	rd1	nopos
SLR_tests	0	0	0	0	1	NA	NA	0.01	sim5	rep1	rd1	nopos
DIMSUM_tests	0.19374068554396423	3.311806590495115e-4	0.38532869680410664	0.42001987083954295	5.795661533366451e-4	0.6654275092936803	0.9982935153583616	0.01	sim5	rep1	rd1	nopos
ENRICH2_tests	0.1938234807087266	2.4838549428713363e-4	0.44792184136446433	0.35800629243252197	0	0.6979744549090441	0.9987201365187712	0.05	sim5	rep1	rd1	nopos
ROSACE_tests	0.19208478224871667	0.00198708395429706	0.30228514654744165	0.5034773969200199	1.6559032952475575e-4	0.6114553676101155	0.9897610921501708	0.05	sim5	rep1	rd1	nopos
ROSACENP_tests	0.13760556383507205	0.05646630236794171	0.3094883258817685	0.496274217585693	1.6559032952475575e-4	0.6922222222222223	0.7090443686006825	0.05	sim5	rep1	rd1	nopos
SLR_tests	0	0	0	0	1	NA	NA	0.05	sim5	rep1	rd1	nopos
DIMSUM_tests	0.1938234807087266	2.4838549428713363e-4	0.4776453055141579	0.32770326212949163	5.795661533366451e-4	0.71134401972873	0.9987201365187712	0.05	sim5	rep1	rd1	nopos
ENRICH2_tests	0.1938234807087266	2.4838549428713363e-4	0.4982613015399901	0.3076668322569962	0	0.7199425768632612	0.9987201365187712	0.1	sim5	rep1	rd1	nopos
ROSACE_tests	0.1930783242258652	9.935419771485343e-4	0.369183639675443	0.4365789037920185	1.6559032952475575e-4	0.6566043292593138	0.9948805460750852	0.1	sim5	rep1	rd1	nopos
ROSACENP_tests	0.1569796323894685	0.03709223381354529	0.3739029640668985	0.431859579400563	1.6559032952475575e-4	0.7043044291952589	0.8088737201365188	0.1	sim5	rep1	rd1	nopos
SLR_tests	0	0	0	0	1	NA	NA	0.1	sim5	rep1	rd1	nopos
DIMSUM_tests	0.1938234807087266	2.4838549428713363e-4	0.5270740188772975	0.27827454876635205	5.795661533366451e-4	0.7311358676926611	0.9987201365187712	0.1	sim5	rep1	rd1	nopos
ENRICH2_tests	0.190842854777281	1.6559032952475575e-4	0.3118065904951151	0.49718496439807913	0	0.6203261406687531	0.99913307325531	0.005	sim6	rep1	rd1	nopos
ROSACE_tests	0.1795827123695976	0.01142573273720814	0.1737042556714688	0.6351217088922007	1.6559032952475575e-4	0.4916803374736349	0.9401820546163848	0.005	sim6	rep1	rd1	nopos
ROSACENP_tests	0.06905116741182316	0.12195727769498262	0.17784401390958768	0.6309819506540818	1.6559032952475575e-4	0.7203219315895372	0.3615084525357607	0.005	sim6	rep1	rd1	nopos
SLR_tests	0	0	0	0	1	NA	NA	0.005	sim6	rep1	rd1	nopos
DIMSUM_tests	0.1909256499420434	8.279516476237788e-5	0.3454214273886405	0.46315615168074187	4.139758238118894e-4	0.6440259339302254	0.999566536627655	0.005	sim6	rep1	rd1	nopos
ENRICH2_tests	0.1909256499420434	8.279516476237788e-5	0.3469945355191257	0.46199701937406856	0	0.6450669539787595	0.999566536627655	0.01	sim6	rep1	rd1	nopos
ROSACE_tests	0.18272892863056797	0.00827951647623778	0.20226858751448917	0.6065573770491803	1.6559032952475575e-4	0.5253763440860215	0.9566536627654963	0.01	sim6	rep1	rd1	nopos
ROSACENP_tests	0.08296075509190264	0.10804769001490314	0.2073190925649942	0.6015068719986753	1.6559032952475575e-4	0.7142042213348545	0.4343302990897269	0.01	sim6	rep1	rd1	nopos
SLR_tests	0	0	0	0	1	NA	NA	0.01	sim6	rep1	rd1	nopos
DIMSUM_tests	0.1909256499420434	8.279516476237788e-5	0.3799470110945521	0.4286305679748303	4.139758238118894e-4	0.6655547498187092	0.999566536627655	0.01	sim6	rep1	rd1	nopos
ENRICH2_tests	0.1909256499420434	8.279516476237788e-5	0.44212617983109787	0.3668653750620964	0	0.6984043944546168	0.999566536627655	0.05	sim6	rep1	rd1	nopos
ROSACE_tests	0.1885245901639344	0.00248385494287133	0.302367941712204	0.5064580228514655	1.6559032952475575e-4	0.6159554730983302	0.9869960988296488	0.05	sim6	rep1	rd1	nopos
ROSACENP_tests	0.12261963901308164	0.06838880609372412	0.30601092896174864	0.5028150356019209	1.6559032952475575e-4	0.713926984740197	0.6419592544429996	0.05	sim6	rep1	rd1	nopos
SLR_tests	0	0	0	0	1	NA	NA	0.05	sim6	rep1	rd1	nopos
DIMSUM_tests	0.1909256499420434	8.279516476237788e-5	0.4753270409008114	0.333250538168571	4.139758238118894e-4	0.7134335777308314	0.999566536627655	0.05	sim6	rep1	rd1	nopos
ENRICH2_tests	0.1909256499420434	8.279516476237788e-5	0.4947839046199702	0.31420765027322406	0	0.7215648394107703	0.999566536627655	0.1	sim6	rep1	rd1	nopos
ROSACE_tests	0.18968372247060772	0.00132472263619804	0.3671965557211459	0.4416294088425236	1.6559032952475575e-4	0.65938150460898	0.9930645860424796	0.1	sim6	rep1	rd1	nopos
ROSACENP_tests	0.14563669481702268	0.04537175028978307	0.3717502897830766	0.4370756747805928	1.6559032952475575e-4	0.718514962393983	0.7624620719549198	0.1	sim6	rep1	rd1	nopos
SLR_tests	0	0	0	0	1	NA	NA	0.1	sim6	rep1	rd1	nopos
DIMSUM_tests	0.1909256499420434	8.279516476237788e-5	0.5262460672296738	0.28233151183970856	4.139758238118894e-4	0.7337797275456015	0.999566536627655	0.1	sim6	rep1	rd1	nopos
ENRICH2_tests	0.19357509521443947	2.4838549428713363e-4	0.3038582546779268	0.5023182646133466	0	0.6108521970705726	0.9987184963690732	0.005	sim7	rep1	rd1	nopos
ROSACE_tests	0.18099023017055804	0.01283325053816857	0.16741182314952807	0.6387646961417454	0	0.48051330798479086	0.933788979068774	0.005	sim7	rep1	rd1	nopos
ROSACENP_tests	0.08031130981950654	0.11351217088922008	0.1732074846828945	0.6329690346083788	0	0.6832135858915741	0.4143528406663819	0.005	sim7	rep1	rd1	nopos
SLR_tests	0	0	0	0	1	NA	NA	0.005	sim7	rep1	rd1	nopos
DIMSUM_tests	0.19357509521443947	2.4838549428713363e-4	0.33970856102003644	0.4657228017883755	7.451564828614009e-4	0.6370128861977954	0.9987184963690732	0.005	sim7	rep1	rd1	nopos
ENRICH2_tests	0.19357509521443947	2.4838549428713363e-4	0.34161284980957113	0.46456366948170225	0	0.6383044554455446	0.9987184963690732	0.01	sim7	rep1	rd1	nopos
ROSACE_tests	0.18628912071535025	0.00753435999337638	0.1979632389468455	0.6082132803444279	0	0.5151906916612798	0.9611277231952156	0.01	sim7	rep1	rd1	nopos
ROSACENP_tests	0.0939725120052989	0.09985096870342772	0.2008610697135287	0.6053154495777446	0	0.6812693063746139	0.4848355403673644	0.01	sim7	rep1	rd1	nopos
SLR_tests	0	0	0	0	1	NA	NA	0.01	sim7	rep1	rd1	nopos
DIMSUM_tests	0.19357509521443947	2.4838549428713363e-4	0.3728266269249876	0.4326047358834244	7.451564828614009e-4	0.6582370998392048	0.9987184963690732	0.01	sim7	rep1	rd1	nopos
ENRICH2_tests	0.19357509521443947	2.4838549428713363e-4	0.43765524093392943	0.36852127835734394	0	0.6933368310598111	0.9987184963690732	0.05	sim7	rep1	rd1	nopos
ROSACE_tests	0.19150521609538004	0.00231826461334658	0.2947507865540652	0.5114257327372081	0	0.6061638004427039	0.9880392994446816	0.05	sim7	rep1	rd1	nopos
ROSACENP_tests	0.13487332339791355	0.05895015731081305	0.2995529061102832	0.5066236131809903	0	0.6895368782161235	0.6958564715933362	0.05	sim7	rep1	rd1	nopos
SLR_tests	0	0	0	0	1	NA	NA	0.05	sim7	rep1	rd1	nopos
DIMSUM_tests	0.19365789037920184	1.6559032952475575e-4	0.4672131147540984	0.3382182480543136	7.451564828614009e-4	0.7069656727637184	0.9991456642460488	0.05	sim7	rep1	rd1	nopos
ENRICH2_tests	0.19374068554396423	8.279516476237788e-5	0.4870011591323067	0.3191753601589667	0	0.7153977134517149	0.9995728321230244	0.1	sim7	rep1	rd1	nopos
ROSACE_tests	0.19266434840205332	0.00115913230667329	0.3590826295744329	0.44709388971684055	0	0.6508103241296519	0.9940196497223408	0.1	sim7	rep1	rd1	nopos
ROSACENP_tests	0.1512667660208644	0.04255671468786223	0.36181487001159135	0.4443616492796821	0	0.7051799257705341	0.7804357112345152	0.1	sim7	rep1	rd1	nopos
SLR_tests	0	0	0	0	1	NA	NA	0.1	sim7	rep1	rd1	nopos
DIMSUM_tests	0.19374068554396423	8.279516476237788e-5	0.5211127670144063	0.28431859579400565	7.451564828614009e-4	0.7289784572619875	0.9995728321230244	0.1	sim7	rep1	rd1	nopos
ENRICH2_tests	0.18140420599436993	8.279516476237788e-5	0.3225699619142242	0.4959430369266435	0	0.6400525710530639	0.999543795620438	0.005	sim8	rep1	rd1	nopos
ROSACE_tests	0.1631892697466468	0.01829773141248551	0.1706408345752608	0.6478721642656069	0	0.5111607142857142	0.8991788321167884	0.005	sim8	rep1	rd1	nopos
ROSACENP_tests	0.08213280344427885	0.09935419771485346	0.17718165259148866	0.641331346249379	0	0.6832694763729246	0.45255474452554745	0.005	sim8	rep1	rd1	nopos
SLR_tests	0	0	0	0	1	NA	NA	0.005	sim8	rep1	rd1	nopos
DIMSUM_tests	0.1814870011591323	0	0.3555224374896506	0.4624109951978804	5.795661533366451e-4	0.6620413197656491	1	0.005	sim8	rep1	rd1	nopos
ENRICH2_tests	0.1814870011591323	0	0.35659877463156153	0.46191422420930617	0	0.6627173411294045	1	0.01	sim8	rep1	rd1	nopos
ROSACE_tests	0.16790859413810233	0.01357840702102997	0.1991223712535188	0.6193906275873489	0	0.5425219941348973	0.9251824817518248	0.01	sim8	rep1	rd1	nopos
ROSACENP_tests	0.0939725120052989	0.08751448915383342	0.20673952641165755	0.6117734724292101	0	0.6875	0.5177919708029197	0.01	sim8	rep1	rd1	nopos
SLR_tests	0	0	0	0	1	NA	NA	0.01	sim8	rep1	rd1	nopos
DIMSUM_tests	0.1814870011591323	0	0.3923662858089087	0.4255671468786223	5.795661533366451e-4	0.6837397200981099	1	0.01	sim8	rep1	rd1	nopos
ENRICH2_tests	0.1814870011591323	0	0.455290611028316	0.3632223878125518	0	0.7149915485632559	1	0.05	sim8	rep1	rd1	nopos
