test	num_na	corr_pearson	corr_spearman	sim	rep	rd	mode
EDGER_effects	0	0.6875056017558915	0.6742612985553331	sim10	rep1	rd3	nopos
LIMMA_effects	0	0.7122595027336487	0.6718826209187093	sim10	rep1	rd3	nopos
DIMSUM_effects	0	0.4811245411696266	0.48068399379236304	sim10	rep1	rd3	nopos
ENRICH2_effects	0	0.7216305306814758	0.6424483069922502	sim2	rep1	rd3	nopos
ROSACE_effects	0	0.7029184256928294	0.6507156596597763	sim2	rep1	rd3	nopos
ROSACENP_effects	0	0.725370160426905	0.6515603776942278	sim2	rep1	rd3	nopos
SLR_effects	0	0.6170084854935708	0.6469779767308879	sim2	rep1	rd3	nopos
EDGER_effects	0	0.6664601838911363	0.6470900491645076	sim2	rep1	rd3	nopos
LIMMA_effects	0	0.693012006712594	0.6431029022871858	sim2	rep1	rd3	nopos
DIMSUM_effects	0	0.44783139290146134	0.44931250262811334	sim2	rep1	rd3	nopos
ENRICH2_effects	0	0.7281483921615877	0.6587933654366709	sim3	rep1	rd3	nopos
ROSACE_effects	0	0.7178983117540088	0.6698534385997761	sim3	rep1	rd3	nopos
ROSACENP_effects	0	0.7393522451842267	0.6705185302562784	sim3	rep1	rd3	nopos
SLR_effects	0	0.6289991643911677	0.6651142894510019	sim3	rep1	rd3	nopos
EDGER_effects	0	0.6759400448960965	0.6650253954738913	sim3	rep1	rd3	nopos
LIMMA_effects	0	0.7029705133958283	0.6618473000399275	sim3	rep1	rd3	nopos
DIMSUM_effects	0	0.4795222559147742	0.47847540551455714	sim3	rep1	rd3	nopos
ENRICH2_effects	0	0.7436070953183944	0.6698440848114197	sim4	rep1	rd3	nopos
ROSACE_effects	0	0.7274897381070636	0.679489705353237	sim4	rep1	rd3	nopos
ROSACENP_effects	0	0.74664212484559	0.6801214849889371	sim4	rep1	rd3	nopos
SLR_effects	0	0.6447237682947641	0.6750015402608328	sim4	rep1	rd3	nopos
EDGER_effects	0	0.6911185713910136	0.6746107925325379	sim4	rep1	rd3	nopos
LIMMA_effects	0	0.7163573212558282	0.6727686040846261	sim4	rep1	rd3	nopos
DIMSUM_effects	0	0.47538731326408146	0.4762263444664532	sim4	rep1	rd3	nopos
ENRICH2_effects	0	0.7450129007989182	0.667196819722414	sim5	rep1	rd3	nopos
ROSACE_effects	0	0.7230438813811241	0.6749660387324056	sim5	rep1	rd3	nopos
ROSACENP_effects	0	0.7444936360645452	0.6758641969118608	sim5	rep1	rd3	nopos
SLR_effects	0	0.6405116278898683	0.6716366283988113	sim5	rep1	rd3	nopos
EDGER_effects	0	0.6863472524032627	0.6715845959762388	sim5	rep1	rd3	nopos
LIMMA_effects	0	0.7197058905957529	0.6685872059556841	sim5	rep1	rd3	nopos
DIMSUM_effects	0	0.4590943170516414	0.46051182503090726	sim5	rep1	rd3	nopos
ENRICH2_effects	0	0.738660816779697	0.6607548583886935	sim6	rep1	rd3	nopos
ROSACE_effects	0	0.7210251625395663	0.6688305085302199	sim6	rep1	rd3	nopos
ROSACENP_effects	0	0.7397831064075345	0.6694261262936189	sim6	rep1	rd3	nopos
SLR_effects	0	0.6360534922306811	0.6650225076846863	sim6	rep1	rd3	nopos
EDGER_effects	0	0.6854331773566648	0.6651584959914407	sim6	rep1	rd3	nopos
LIMMA_effects	0	0.7120328278067951	0.6623927444209381	sim6	rep1	rd3	nopos
DIMSUM_effects	0	0.47154250125331343	0.4721363424903467	sim6	rep1	rd3	nopos
ENRICH2_effects	0	0.7486629899677654	0.6677336743461799	sim7	rep1	rd3	nopos
ROSACE_effects	0	0.7255094907083613	0.6758432830561933	sim7	rep1	rd3	nopos
ROSACENP_effects	0	0.747472140950425	0.6768154452281646	sim7	rep1	rd3	nopos
SLR_effects	0	0.641117977745555	0.6723493701230023	sim7	rep1	rd3	nopos
EDGER_effects	0	0.6860418430374072	0.6723528994542272	sim7	rep1	rd3	nopos
LIMMA_effects	0	0.7173839528163984	0.6694834518504258	sim7	rep1	rd3	nopos
DIMSUM_effects	0	0.47458429754993625	0.47954052509297745	sim7	rep1	rd3	nopos
ENRICH2_effects	0	0.7351403329823077	0.6499587954008685	sim8	rep1	rd3	nopos
ROSACE_effects	0	0.7130833053592205	0.6569617578465071	sim8	rep1	rd3	nopos
ROSACENP_effects	0	0.7334007400028896	0.6573882912189353	sim8	rep1	rd3	nopos
SLR_effects	0	0.6263355309332848	0.653463836759631	sim8	rep1	rd3	nopos
EDGER_effects	0	0.676618507815563	0.6536189893699879	sim8	rep1	rd3	nopos
LIMMA_effects	0	0.7059709973711666	0.6517001351652522	sim8	rep1	rd3	nopos
DIMSUM_effects	0	0.4622733252371248	0.461586147470197	sim8	rep1	rd3	nopos
ENRICH2_effects	0	0.7377022507722814	0.6581590220359127	sim9	rep1	rd3	nopos
ROSACE_effects	0	0.7124277285807303	0.6662290250633087	sim9	rep1	rd3	nopos
ROSACENP_effects	0	0.7335417491843071	0.6667078477261712	sim9	rep1	rd3	nopos
SLR_effects	0	0.6297499029157466	0.6624374061044896	sim9	rep1	rd3	nopos
EDGER_effects	0	0.676035688977955	0.6623500922904582	sim9	rep1	rd3	nopos
LIMMA_effects	0	0.7104467999061047	0.6597623382209948	sim9	rep1	rd3	nopos
DIMSUM_effects	1	0.4555655938543534	0.452525840115392	sim9	rep1	rd3	nopos
ENRICH2_effects	0	0.9171091176319344	0.6936114251443538	sim1	rep3	rd1	nopos
ROSACE_effects	0	0.9258633721784364	0.6936618678470293	sim1	rep3	rd1	nopos
ROSACENP_effects	0	0.921777832422246	0.6936770387175047	sim1	rep3	rd1	nopos
SLR_effects	0	0.9136096669672842	0.6935922101944679	sim1	rep3	rd1	nopos
EDGER_effects	0	0.91712226223003	0.6936068731540518	sim1	rep3	rd1	nopos
LIMMA_effects	0	0.913571795382235	0.6935908285255301	sim1	rep3	rd1	nopos
DIMSUM_effects	0	0.9123016627374988	0.6935501571262078	sim1	rep3	rd1	nopos
ENRICH2_effects	0	0.9154310687200566	0.6898621981051297	sim10	rep3	rd1	nopos
ROSACE_effects	0	0.9245353526474154	0.6898301825101205	sim10	rep3	rd1	nopos
ROSACENP_effects	0	0.9201000665520428	0.6898893258196582	sim10	rep3	rd1	nopos
SLR_effects	0	0.9120578296509884	0.689843629369382	sim10	rep3	rd1	nopos
EDGER_effects	0	0.915677068814552	0.6898907666598278	sim10	rep3	rd1	nopos
LIMMA_effects	0	0.9119989996323226	0.6898442712865178	sim10	rep3	rd1	nopos
DIMSUM_effects	0	0.911500774149425	0.6898237514131429	sim10	rep3	rd1	nopos
ENRICH2_effects	0	0.91036042072146	0.664162814524448	sim2	rep3	rd1	nopos
ROSACE_effects	0	0.9200018665635458	0.664150378166647	sim2	rep3	rd1	nopos
ROSACENP_effects	0	0.9154474544390768	0.6642282189342029	sim2	rep3	rd1	nopos
SLR_effects	0	0.907238035953892	0.6641475857175534	sim2	rep3	rd1	nopos
EDGER_effects	0	0.9108765713703456	0.6642225544124788	sim2	rep3	rd1	nopos
LIMMA_effects	0	0.9072123293256176	0.6641490932156097	sim2	rep3	rd1	nopos
DIMSUM_effects	0	0.90521126590077	0.6641849988078314	sim2	rep3	rd1	nopos
ENRICH2_effects	0	0.9138331849301936	0.6843831060244215	sim3	rep3	rd1	nopos
ROSACE_effects	0	0.9233599115114662	0.6843732638764317	sim3	rep3	rd1	nopos
ROSACENP_effects	0	0.9183317530166298	0.684465821596892	sim3	rep3	rd1	nopos
SLR_effects	0	0.910486503064672	0.6843731726142415	sim3	rep3	rd1	nopos
EDGER_effects	0	0.913859610842627	0.6843982019793428	sim3	rep3	rd1	nopos
LIMMA_effects	0	0.9104430213974144	0.6843706052276544	sim3	rep3	rd1	nopos
DIMSUM_effects	0	0.910179822493882	0.6843725847281755	sim3	rep3	rd1	nopos
ENRICH2_effects	0	0.9162723828011744	0.6941827639338028	sim4	rep3	rd1	nopos
ROSACE_effects	0	0.9250252386985764	0.6941610236050021	sim4	rep3	rd1	nopos
ROSACENP_effects	0	0.9208544257817632	0.6942305930658726	sim4	rep3	rd1	nopos
SLR_effects	0	0.9127966497984156	0.6941643966112832	sim4	rep3	rd1	nopos
EDGER_effects	0	0.9167687859737044	0.6941959888954891	sim4	rep3	rd1	nopos
LIMMA_effects	0	0.9127719284956928	0.6941623246219899	sim4	rep3	rd1	nopos
DIMSUM_effects	0	0.9130027439576708	0.6941370412916703	sim4	rep3	rd1	nopos
ENRICH2_effects	0	0.9148272620048208	0.6881719934314657	sim5	rep3	rd1	nopos
ROSACE_effects	0	0.92396323871416	0.6881788828145132	sim5	rep3	rd1	nopos
ROSACENP_effects	0	0.919659179375012	0.6882474812808504	sim5	rep3	rd1	nopos
SLR_effects	0	0.9114429839672062	0.6881571318016619	sim5	rep3	rd1	nopos
EDGER_effects	0	0.9152836972725036	0.6881518991147466	sim5	rep3	rd1	nopos
LIMMA_effects	0	0.9114919684391828	0.6881602885188253	sim5	rep3	rd1	nopos
DIMSUM_effects	0	0.9120384311293523	0.6880907552753612	sim5	rep3	rd1	nopos
ENRICH2_effects	0	0.9153621062421669	0.6837880718318508	sim6	rep3	rd1	nopos
ROSACE_effects	0	0.9243457983321663	0.683746887443036	sim6	rep3	rd1	nopos
ROSACENP_effects	0	0.9199190552480312	0.6838092245671916	sim6	rep3	rd1	nopos
SLR_effects	0	0.9118480862836954	0.6837736351823185	sim6	rep3	rd1	nopos
EDGER_effects	0	0.9154813902947008	0.683809215571689	sim6	rep3	rd1	nopos
LIMMA_effects	0	0.9118146067988712	0.6837737563634524	sim6	rep3	rd1	nopos
DIMSUM_effects	0	0.9112035617823786	0.6837720315403968	sim6	rep3	rd1	nopos
ENRICH2_effects	0	0.9149045707921974	0.6877813655334037	sim7	rep3	rd1	nopos
ROSACE_effects	0	0.9234344154163884	0.6877396326017726	sim7	rep3	rd1	nopos
ROSACENP_effects	0	0.919498567913007	0.6878317922335192	sim7	rep3	rd1	nopos
SLR_effects	0	0.91156818189048	0.6877638375390464	sim7	rep3	rd1	nopos
EDGER_effects	0	0.9156551100497894	0.6877919317511979	sim7	rep3	rd1	nopos
LIMMA_effects	0	0.9116505272522888	0.6877687801308238	sim7	rep3	rd1	nopos
DIMSUM_effects	0	0.9119497083146024	0.6877399790416159	sim7	rep3	rd1	nopos
ENRICH2_effects	0	0.9111995438311308	0.670318623380282	sim8	rep3	rd1	nopos
ROSACE_effects	0	0.9208421277403548	0.6703332347125899	sim8	rep3	rd1	nopos
ROSACENP_effects	0	0.915985078906983	0.6703721774421849	sim8	rep3	rd1	nopos
SLR_effects	0	0.9078797001953532	0.6703043932559063	sim8	rep3	rd1	nopos
EDGER_effects	0	0.9120013576391166	0.6703487354017014	sim8	rep3	rd1	nopos
LIMMA_effects	0	0.9079910831441766	0.6703069926745329	sim8	rep3	rd1	nopos
DIMSUM_effects	0	0.9083099561916562	0.6703220183042438	sim8	rep3	rd1	nopos
ENRICH2_effects	0	0.9154024816042968	0.682694068224434	sim9	rep3	rd1	nopos
ROSACE_effects	0	0.9244142467963437	0.6826959801783935	sim9	rep3	rd1	nopos
