test	TP	FN	FP	TN	NAR	FDR	POWER	fdr	sim
ROSACE_tests	0	0.20442216011836264	0	0.7955778398816373	0	NA	0	0	sim1
SLR_tests	0	0.20442216011836264	0	0.7955778398816373	0	NA	0	0	sim1
ENRICH2_tests	0	0.20442216011836264	0	0.7955778398816373	0	NA	0	0	sim1
DIMSUM_tests	0	0.20442216011836264	0	0.7955778398816373	0	NA	0	0	sim1
EDGER_tests	0	0.20442216011836264	0	0.7955778398816373	0	NA	0	0	sim1
LIMMA_tests	0	0.20442216011836264	0	0.7955778398816373	0	NA	0	0	sim1
ROSACE_tests	0.07455203024823279	0.12987012987012986	0.00484958079894788	0.7907282590826895	0	0.06107660455486542	0.3646964213912345	0.005	sim1
SLR_tests	0.00205490711819825	0.2023672530001644	0.00123294427091895	0.7943448956107184	0	0.375	0.01005227181342983	0.005	sim1
ENRICH2_tests	0.08795002465888542	0.11647213545947724	0.0433996383363472	0.7521782015452901	0	0.3304130162703379	0.43023723361479693	0.005	sim1
DIMSUM_tests	0.03501561729409831	0.16940654282426434	1.643925694558606e-4	0.7954134473121814	0	0.00467289719626168	0.1712907117008444	0.005	sim1
EDGER_tests	0	0.20442216011836264	0	0.7955778398816373	0	NA	0	0.005	sim1
LIMMA_tests	0	0.20442216011836264	0	0.7955778398816373	0	NA	0	0.005	sim1
ROSACE_tests	0.09345717573565676	0.1109649843827059	0.00871280618116061	0.7868650337004768	0	0.08527755430410297	0.4571773220747889	0.01	sim1
SLR_tests	0.00550715107677133	0.19891500904159132	0.0027124773960217	0.7928653624856157	0	0.33	0.02694008845999196	0.01	sim1
ENRICH2_tests	0.09485451257603156	0.10956764754233107	0.04948216340621404	0.7460956764754233	0	0.34282460136674264	0.4640128669079211	0.01	sim1
DIMSUM_tests	0.05145487423968437	0.15296728587867828	4.931777083675817e-4	0.7950846621732698	0	0.00949367088607594	0.2517088862082831	0.01	sim1
EDGER_tests	0	0.20442216011836264	0	0.7955778398816373	0	NA	0	0.01	sim1
LIMMA_tests	0	0.20442216011836264	0	0.7955778398816373	0	NA	0	0.01	sim1
ROSACE_tests	0.1432681242807825	0.06115403583758014	0.03616636528028933	0.7594114746013481	0	0.20155748969308293	0.7008443908323281	0.05	sim1
SLR_tests	0.02860430708531974	0.1758178530330429	0.01380897583429229	0.781768864047345	0	0.3255813953488372	0.1399276236429433	0.05	sim1
ENRICH2_tests	0.12255466052934408	0.08186749958901858	0.0784152556304455	0.7171625842511918	0	0.39018404907975457	0.5995174909529554	0.05	sim1
DIMSUM_tests	0.0995397008055236	0.10488245931283906	0.00369883281275686	0.7918790070688805	0	0.03582802547770701	0.4869320466425412	0.05	sim1
EDGER_tests	0	0.20442216011836264	0	0.7955778398816373	0	NA	0	0.05	sim1
LIMMA_tests	0	0.20442216011836264	0	0.7955778398816373	0	NA	0	0.05	sim1
ROSACE_tests	0	0.19924379418050303	0	0.8007562058194969	0	NA	0	0	sim10
SLR_tests	0	0.19924379418050303	0	0.8007562058194969	0	NA	0	0	sim10
ENRICH2_tests	0	0.19924379418050303	0	0.8007562058194969	0	NA	0	0	sim10
DIMSUM_tests	0	0.19924379418050303	0	0.8007562058194969	0	NA	0	0	sim10
EDGER_tests	0	0.19924379418050303	0	0.8007562058194969	0	NA	0	0	sim10
LIMMA_tests	0	0.19924379418050303	0	0.8007562058194969	0	NA	0	0	sim10
ROSACE_tests	0.07652474108170311	0.12271905309879994	0.00460299194476409	0.7961532138747328	0	0.05673758865248226	0.3840759075907591	0.005	sim10
SLR_tests	0.0027124773960217	0.19653131678448135	0.00139733684037481	0.7993588689791221	0	0.33999999999999997	0.01361386138613861	0.005	sim10
ENRICH2_tests	0.08868979122143679	0.11055400295906626	0.04455038632253822	0.7562058194969588	0	0.33436150524367675	0.4451320132013201	0.005	sim10
DIMSUM_tests	0.04792043399638336	0.15132336018411968	2.4658885418379087e-4	0.8005096169653132	0	0.00511945392491467	0.24051155115511552	0.005	sim10
EDGER_tests	0	0.19924379418050303	0	0.8007562058194969	0	NA	0	0.005	sim10
LIMMA_tests	0	0.19924379418050303	0	0.8007562058194969	0	NA	0	0.005	sim10
ROSACE_tests	0.09534769028439914	0.1038961038961039	0.00805523590333717	0.7927009699161598	0	0.07790143084260732	0.47854785478547857	0.01	sim10
SLR_tests	0.00493177708367581	0.1943120170968272	0.00312345881966135	0.7976327469998357	0	0.3877551020408163	0.02475247524752475	0.01	sim10
ENRICH2_tests	0.09608745684695053	0.10315633733355252	0.05375637021206642	0.7469998356074306	0	0.3587493143170598	0.4822607260726072	0.01	sim10
DIMSUM_tests	0.06181160611540358	0.13743218806509946	5.753739930955121e-4	0.8001808318264014	0	0.00922266139657444	0.3102310231023102	0.01	sim10
EDGER_tests	0	0.19924379418050303	0	0.8007562058194969	0	NA	0	0.01	sim10
LIMMA_tests	0	0.19924379418050303	0	0.8007562058194969	0	NA	0	0.01	sim10
ROSACE_tests	0.14417228341278973	0.0550715107677133	0.03789248725957587	0.7628637185599211	0	0.2081264108352145	0.7235973597359736	0.05	sim10
SLR_tests	0.02671379253657734	0.1725300016439257	0.01487752753575538	0.7858786782837416	0	0.3577075098814229	0.13407590759075905	0.05	sim10
ENRICH2_tests	0.12115732368896924	0.07808647049153378	0.08359362156830512	0.7171625842511918	0	0.4082697711762344	0.6080858085808581	0.05	sim10
DIMSUM_tests	0.10734834785467696	0.09189544632582608	0.00378102909748479	0.7969751767220121	0	0.03402366863905325	0.5387788778877888	0.05	sim10
