model	fdr	TP	FN	FP	TN	NAR	FDR	Power	sim
ROSACE	0	0	0.22896963663514183	0	0.7710303633648581	0	NA	0	sim1
ROSACE	1e-5	0.1166417786626846	0.11232785797245728	0.00116144018583042	0.7698689231790277	0	0.00985915492957746	0.5094202898550725	sim1
ROSACE	2e-5	0.1247718599634976	0.10419777667164427	0.00149328023892483	0.7695370831259333	0	0.01182654402102496	0.5449275362318841	sim1
ROSACE	3.0000000000000004e-5	0.1295835407333665	0.09938609590177534	0.00149328023892483	0.7695370831259333	0	0.01139240506329114	0.5659420289855072	sim1
ROSACE	4e-5	0.133233781317405	0.09573585531773685	0.00149328023892483	0.7695370831259333	0	0.01108374384236453	0.5818840579710145	sim1
ROSACE	5e-5	0.13555666168906588	0.093412974946076	0.00182512029201924	0.7692052430728389	0	0.01328502415458936	0.5920289855072465	sim1
ROSACE	6.000000000000001e-5	0.13704994192799072	0.09191969470715115	0.00199104031856645	0.7690393230462916	0	0.01431980906921241	0.5985507246376812	sim1
ROSACE	7.000000000000001e-5	0.13887506222000995	0.09009457441513193	0.00199104031856645	0.7690393230462916	0	0.01413427561837455	0.6065217391304347	sim1
ROSACE	8e-5	0.141363862618218	0.08760577401692385	0.00199104031856645	0.7690393230462916	0	0.01388888888888889	0.6173913043478261	sim1
ROSACE	9e-5	0.14252530280404846	0.08644433383109341	0.00215696034511365	0.7688734030197445	0	0.01490825688073394	0.6224637681159421	sim1
ROSACE	1e-4	0.1448481831757093	0.08412145345943256	0.00215696034511365	0.7688734030197445	0	0.01467268623024831	0.6326086956521739	sim1
ROSACE	1.1e-4	0.1453459432553509	0.08362369337979095	0.00232288037166085	0.7687074829931972	0	0.01573033707865168	0.6347826086956522	sim1
ROSACE	1.2000000000000002e-4	0.14667330346772856	0.0822963331674133	0.00248880039820806	0.7685415629666501	0	0.01668520578420467	0.6405797101449275	sim1
ROSACE	1.3000000000000002e-4	0.14717106354737017	0.08179857308777169	0.00248880039820806	0.7685415629666501	0	0.01662971175166297	0.6427536231884058	sim1
ROSACE	1.4e-4	0.14783474365355898	0.08113489298158287	0.00265472042475526	0.7683756429401029	0	0.01764057331863286	0.6456521739130434	sim1
ROSACE	1.5e-4	0.1481665837066534	0.08080305292848847	0.00265472042475526	0.7683756429401029	0	0.0176017601760176	0.6471014492753623	sim1
ROSACE	1.6e-4	0.1484984237597478	0.08047121287539406	0.00265472042475526	0.7683756429401029	0	0.01756311745334797	0.6485507246376812	sim1
ROSACE	1.7e-4	0.14982578397212545	0.07914385266301642	0.00265472042475526	0.7683756429401029	0	0.01741022850924918	0.6543478260869565	sim1
ROSACE	1.8e-4	0.15015762402521984	0.07881201260992202	0.00265472042475526	0.7683756429401029	0	0.01737242128121607	0.6557971014492754	sim1
ROSACE	1.9e-4	0.15048946407831426	0.07848017255682761	0.00265472042475526	0.7683756429401029	0	0.01733477789815818	0.6572463768115943	sim1
ROSACE	2e-4	0.15131906421105026	0.07765057242409158	0.00265472042475526	0.7683756429401029	0	0.01724137931034483	0.6608695652173913	sim1
ROSACE	2.1e-4	0.1521486643437863	0.07682097229135557	0.00265472042475526	0.7683756429401029	0	0.01714898177920686	0.6644927536231884	sim1
ROSACE	2.2e-4	0.1524805043968807	0.07648913223826116	0.00265472042475526	0.7683756429401029	0	0.01711229946524064	0.6659420289855073	sim1
ROSACE	2.3e-4	0.15297826447652232	0.07599137215861955	0.00265472042475526	0.7683756429401029	0	0.01705756929637526	0.6681159420289855	sim1
ROSACE	2.4000000000000003e-4	0.15380786460925833	0.07516177202588352	0.00265472042475526	0.7683756429401029	0	0.01696712619300106	0.6717391304347826	sim1
ROSACE	2.5e-4	0.15430562468889994	0.0746640119462419	0.00265472042475526	0.7683756429401029	0	0.01691331923890064	0.6739130434782609	sim1
ROSACE	2.6000000000000003e-4	0.15480338476854155	0.0741662518666003	0.00265472042475526	0.7683756429401029	0	0.01685985247629083	0.6760869565217391	sim1
ROSACE	2.7e-4	0.15530114484818316	0.07366849178695868	0.00282064045130247	0.7682097229135557	0	0.01783840503672612	0.6782608695652174	sim1
ROSACE	2.8000000000000003e-4	0.155964824954372	0.07300481168076987	0.00282064045130247	0.7682097229135557	0	0.01776384535005224	0.6811594202898551	sim1
ROSACE	2.9e-4	0.1564625850340136	0.07250705160112826	0.00282064045130247	0.7682097229135557	0	0.01770833333333333	0.6833333333333333	sim1
ROSACE	3.0000000000000003e-4	0.15696034511365525	0.07200929152148665	0.00282064045130247	0.7682097229135557	0	0.01765316718587746	0.6855072463768116	sim1
ROSACE	3.1e-4	0.15762402521984403	0.07134561141529783	0.00298656047784967	0.7680438028870085	0	0.01859504132231405	0.6884057971014492	sim1
ROSACE	3.2e-4	0.15778994524639123	0.07117969138875062	0.00331840053094408	0.7677119628339141	0	0.02059732234809475	0.6891304347826086	sim1
ROSACE	3.3000000000000005e-4	0.15795586527293845	0.07101377136220342	0.00348432055749128	0.7675460428073668	0	0.02158273381294963	0.6898550724637682	sim1
ROSACE	3.4e-4	0.15828770532603284	0.070681931309109	0.00348432055749128	0.7675460428073668	0	0.02153846153846154	0.691304347826087	sim1
ROSACE	3.5000000000000005e-4	0.15861954537912726	0.0703500912560146	0.00348432055749128	0.7675460428073668	0	0.02149437052200614	0.6927536231884058	sim1
ROSACE	3.6e-4	0.15911730545876887	0.06985233117637299	0.00348432055749128	0.7675460428073668	0	0.02142857142857143	0.6949275362318841	sim1
